name,address,content
ダイドーインドアテニスクラブ,〒533-0011 大阪府大阪市東淀川区大桐5-19-44,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
コナミスポーツクラブ上新庄,〒533-0006 大阪府大阪市東淀川区上新庄2-24-24 上新庄南阪急ビル2F,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
スペックフィットネスクラブ／スイミングクラブ／体育クラブ,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
YsFITNESS(ワイズフィットネス),〒532-0024 大阪府大阪市淀川区十三本町1-16-3,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
大阪市立淀川屋内プール,〒532-0023 大阪府大阪市淀川区十三東2丁目3-1,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
ゴールドジム十三inプラザオーサカ,〒532-0025 大阪市淀川区新北野1-9-15,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
コナミスポーツクラブ新大阪,〒532-0004 大阪府大阪市淀川区西宮原2-1-3,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
ジャングルジムスポーツ,〒555-0022 大阪府大阪市西淀川区柏里2-7-26,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
クライミングジムPUMP（パンプ）,〒555-0041 大阪府大阪市西淀川区中島1-13-23,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
フィットネスジムJOYFIT24（ジョイフィット24）上新庄,〒533-0005 大阪府大阪市東淀川区瑞光1-11-29,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
URBANFIT24(アーバンフィット24)西淀川店,〒555-0012 大阪府大阪市西淀川区御幣島2-1-1,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
パシオスポーツクラブ福島,〒553-0007 大阪府大阪市福島区大開4-1-145,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
ゴールドジム大阪中之島,〒553-0003 大阪市福島区福島1-1-51,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
リーガロイヤルホテル(大阪) フィットネス＆スパ,〒530-0005 大阪府大阪市北区中之島5-3-68 リーガロイヤルホテル(大阪)内,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
東急スポーツオアシス梅田,〒530-0002 大阪府大阪市北区曽根崎新地2-3-21 axビル 7F,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
ティップネス京橋,〒534-0024 大阪府大阪市都島区東野田町2-1-38,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
ブリヂストンスイミングスクール 旭,〒535-0002 大阪府大阪市旭区大宮1-1-5,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。
ヨガスタジオSTUDIO JUNKO,〒535-0031 大阪府大阪市旭区高殿4-1-14 クレアクオーレ,準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。準備中です。